FID,CSA2010,hhpov15,hhpov16,hhpov17,hhpov18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,24.1471215351812,21.2826480475821,20.6950614058008,23.002938819129,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,11.1696522655427,11.5898463593854,10.4749073762209,10.9034267912772,37524.9505333862,47882527.7112373
3,Belair-Edison,18.6120712576442,19.5921528136293,20.2745771022309,22.8319451249387,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,28.3595641646489,26.333746898263,24.2136064374542,21.5431627196333,150987.70363871,176077742.748461
5,Canton,2.99860529986053,2.26027397260274,3.66178428761651,2.04638472032742,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,16.8560253306016,15.1077752117013,12.1821407451212,10.4486308020974,39962.5498346887,71541340.306082
7,Cherry Hill,45.5329949238579,41.0509031198686,39.3370165745856,39.4833948339483,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,8.85245901639344,10.1632438125329,10.1259181532004,6.60327522451135,21705.411630324,21022590.1303212
9,Claremont/Armistead,21.2662337662338,23.586347427407,24,24.6398410332836,40104.4159801772,61243774.4204004
10,Clifton-Berea,23.6260623229462,29.2420814479638,27.6495278069255,28.4090909090909,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,8.11654526534859,7.14786264891381,9.89412194231471,9.21142080217539,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,21.1886304909561,17.6954732510288,17.408906882591,12.1171770972037,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,18.8167938931298,15.3549382716049,17.4451097804391,15.7809330628803,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,5.45454545454545,7.08661417322835,6.81818181818181,5.69620253164557,21565.8593945388,20736554.4071934
15,Edmondson Village,15.983393876492,11.05743424584,8.88773388773388,9.91401112797167,21504.5513578719,23563061.0426838
16,Fells Point,6.16438356164384,3.79117464263518,3.26354679802955,4.85142510612492,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,20.3405865657521,18.9429373246024,19.2626728110599,17.7602799650043,36886.899781185,37200535.0297002
18,Glen-Fallstaff,19.7963800904977,20.295737895042,17.7639383155397,16.7974426038942,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,23.8470873786408,25.9546209186497,18.9914163090128,17.9447852760736,26454.2692113378,27051213.4555493
20,Greater Govans,21.315570358035,19.2692474989126,19.5322650498051,17.988729952319,22982.1257150065,22698495.7172767
21,Greater Mondawmin,18.307426597582,17.1722643553629,18.7683284457478,19.4857142857142,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,3.75275938189845,3.63436123348018,2.14689265536723,1.58371040723981,39862.7497953315,56688145.179702
23,Greater Rosemont,21.3292117465224,23.8935493202198,23.6338797814207,24.8810523369717,32559.0762212062,42204384.5422658
24,Greenmount East,25.820991629105,24.1800643086817,24.2006269592476,23.4304207119741,20797.473457859,19072287.8238042
25,Hamilton,8.69700748129676,10.920245398773,8.99765533411488,6.14715926730828,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,38.1044487427466,31.0613437195716,26.8582755203171,28.9791437980241,18552.4075815481,10215859.0840198
27,Harford/Echodale,9.34170991532368,8.98338496198254,10.157096424702,9.07341215287324,40019.1854001864,65360039.1701278
28,Highlandtown,9.55993930197269,9.00900900900901,6.65251238499646,6.10573343261355,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,19.54986760812,17.4225415356983,15.4718693284936,11.458792419568,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,7.52857705951912,2.74525635849818,2.33570863024544,2.01089233347297,43415.0595477941,24995836.2620936
31,Lauraville,9.35610103166133,9.67063770147162,7.488679902473,6.21836587129428,34419.6765281197,49665744.2382935
32,Loch Raven,12.1056493030081,11.5611381697001,5.38502961766289,6.87150837988826,29314.3346718106,44147812.3259686
33,Madison/East End,32.8238719068413,32.3741007194245,33.7423312883435,33.5106382978723,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,7.13874496257916,7.39415623136553,5.98048473402581,6.06826801517067,43152.6256992199,62441489.2397897
35,Midtown,7.5716603569497,8.06451612903226,5.41948931735278,6.24321389793702,25020.0969697781,23823949.929494
36,Midway/Coldstream,25.7916241062308,23.6373748609566,22.6038781163434,23.8990017615971,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,12.5077784691973,14.5287958115183,12.8085390260173,11.6583541147132,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,5.05569837189374,3.78983634797588,1.99637023593466,2.24525043177892,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,5.82491582491583,5.72556762092794,3.48289927831816,4.14237496164467,42904.2221443837,74923987.6939622
40,Northwood,7.97453001819284,7.60444845205891,6.60901791229153,5.66332916145181,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,44.3850267379679,42.5,40.1262916188289,40.3614457831325,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,13.0692167577413,13.6826783114993,13.2367149758454,12.5453602903058,47825.8629265765,89894372.2114828
43,Patterson Park North & East,26.2806236080178,22.8329029878274,21.6876670484917,25.4124116260801,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,29.2645556690501,29.4245385450597,25.9645464025026,20.3485103991006,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,17.4418604651163,19,19.1190253045923,20.4010025062656,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,48.7209302325581,47.6545842217484,44.9723756906077,42.7821522309711,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,35.8477743798845,31.8228986509858,35.0450803606428,35.9949302915082,20987.1433066415,23672092.8680536
48,South Baltimore,3.70101596516691,0.81190798376184,0.826446280991735,0.20366598778004,68440.0258267645,46353935.42529
49,Southeastern,26.2565641410353,29.4488188976378,30.281690140845,27.5726630007855,102291.480547452,111251478.472831
50,Southern Park Heights,35.9310344827586,34.8705214615112,31.6257559587335,31.0358565737051,24052.2213722085,27876227.5906738
51,Southwest Baltimore,32.983682983683,36.0159817351598,35.7832450949859,32.0343663700521,28355.5635813649,37766068.8367913
52,The Waverlies,14.2767295597484,18.340348767288,20.5143540669856,19.1616766467065,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,46.6466466466466,44.15,42.9824561403508,39.9041022908897,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,24.7403210576015,24.7887323943662,22.5742574257425,19.9306759098786,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,23.7055520898316,19.8501872659176,21.8228498074454,23.5054347826086,42573.1244161893,45494092.9497963
